Mobile Name,sentiment_rate
Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen,0.21450103136616294
MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,0.15660834715839267
Motorola Barrage V860 Phone (Verizon Wireless)	,0.26028716894192117
Motorola I265 phone,0.3395517202096149
Motorola V365 no contract cellular phone AT&T,0.23746993746993747
Motorola i335 Cell Phone Boost Mobile,0.14087976961580356
Motorola i570 Nextel iDen PTT rugged black cell phone	,0.1647467983405483
Nokia 1680 Black Phone (T-Mobile),0.13980408850408843
"Samsung Alias2 U750 Phone, Black (Verizon Wireless)	",0.19593618190158704
Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon	,0.25572640534980884
"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)	",0.23895216840938222
"Samsung Gusto, Black (Verizon Wireless)	",0.044675081724334424
Samsung R355C Net 10 Unlimited	,0.2526329389772851
"Samsung Rugby II, Black (AT&T)	",0.10232309510276182
Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA	,0.18841161284390523
Samsung T201G Prepaid Phone (Net10)	,0.2034621461832044
Samsung a167 Prepaid GoPhone (AT&T)	,0.1808528405750628
Verizon Wireless Motorola RAZR V3m - Silver	,0.15185423479339547
Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone	,0.1305919534954133
